neighborhood,premisescounty,venue_count,avg_subway_entrances,avg_complaints,subway_score,safety_score,competition_score,popupiq_score,boro_check,ntaname,boroname
Annadale-Huguenot-Prince's Bay-Woodrow,Richmond,5,2.4,10.2,3.6363636363636362,99.04225352112675,99.31412894375858,60.9,Staten Island,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island
Rockaway Beach-Arverne-Edgemere,Queens,15,5.466666666666667,59.0,8.282828282828284,94.46009389671362,97.94238683127571,60.7,Queens,Rockaway Beach-Arverne-Edgemere,Queens
South Ozone Park,Queens,59,4.983050847457627,28.728813559322035,7.550077041602465,97.30245882072094,91.90672153635117,60.3,Queens,South Ozone Park,Queens
Borough Park,Kings,9,5.888888888888889,95.44444444444444,8.922558922558924,91.03808033385499,98.76543209876543,59.7,Brooklyn,Borough Park,Brooklyn
Windsor Terrace-South Slope,Kings,23,4.3478260869565215,61.95652173913044,6.587615283267456,94.18248622167789,96.84499314128944,59.7,Brooklyn,Windsor Terrace-South Slope,Brooklyn
Arden Heights-Rossville,Richmond,7,0.0,10.142857142857142,0.0,99.04761904761905,99.039780521262,59.4,Staten Island,Arden Heights-Rossville,Staten Island
Springfield Gardens (South)-Brookville,Queens,13,0.0,6.461538461538462,0.0,99.39328277356447,98.21673525377228,59.4,Queens,Springfield Gardens (South)-Brookville,Queens
New Springville-Willowbrook-Bulls Head-Travis,Richmond,11,0.0,12.0,0.0,98.87323943661971,98.49108367626886,59.2,Staten Island,New Springville-Willowbrook-Bulls Head-Travis,Staten Island
Bellerose,Queens,8,0.0,18.875,0.0,98.22769953051643,98.90260631001372,59.1,Queens,Bellerose,Queens
Great Kills-Eltingville,Richmond,51,1.7647058823529411,14.411764705882353,2.6737967914438503,98.64678265672467,93.00411522633745,59.1,Staten Island,Great Kills-Eltingville,Staten Island
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,25,0.56,21.04,0.8484848484848486,98.0244131455399,96.57064471879286,58.9,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens
Glen Oaks-Floral Park-New Hyde Park,Queens,10,0.0,23.0,0.0,97.84037558685445,98.62825788751715,58.9,Queens,Glen Oaks-Floral Park-New Hyde Park,Queens
Bay Terrace-Clearview,Queens,14,0.0,21.714285714285715,0.0,97.96109993293092,98.079561042524,58.8,Queens,Bay Terrace-Clearview,Queens
Kew Gardens,Queens,5,3.0,77.4,4.545454545454546,92.73239436619718,99.31412894375858,58.8,Queens,Kew Gardens,Queens
Rosebank-Shore Acres-Park Hill,Richmond,9,0.1111111111111111,28.666666666666668,0.16835016835016833,97.30829420970267,98.76543209876543,58.7,Staten Island,Rosebank-Shore Acres-Park Hill,Staten Island
Mapleton-Midwood (West),Kings,11,2.8181818181818183,71.45454545454545,4.2699724517906334,93.29065300896286,98.49108367626886,58.7,Brooklyn,Mapleton-Midwood (West),Brooklyn
Douglaston-Little Neck,Queens,29,0.0,18.275862068965516,0.0,98.28395661324268,96.02194787379973,58.5,Queens,Douglaston-Little Neck,Queens
Gravesend (West),Kings,25,4.12,87.12,6.242424242424242,91.81971830985916,96.57064471879286,58.5,Brooklyn,Gravesend (West),Brooklyn
Riverdale-Spuyten Duyvil,Bronx,15,0.8,41.46666666666667,1.2121212121212122,96.10641627543036,97.94238683127571,58.5,Bronx,Riverdale-Spuyten Duyvil,Bronx
Tottenville-Charleston,Richmond,40,0.475,18.125,0.7196969696969696,98.2981220657277,94.51303155006858,58.5,Staten Island,Tottenville-Charleston,Staten Island
Oakland Gardens-Hollis Hills,Queens,8,0.0,34.75,0.0,96.73708920187794,98.90260631001372,58.5,Queens,Oakland Gardens-Hollis Hills,Queens
Grasmere-Arrochar-South Beach-Dongan Hills,Richmond,44,1.3409090909090908,29.522727272727273,2.03168044077135,97.22791293213828,93.96433470507544,58.5,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island
Dyker Heights,Kings,21,3.1904761904761907,75.19047619047619,4.834054834054834,92.93986139056561,97.11934156378601,58.5,Brooklyn,Dyker Heights,Brooklyn
West New Brighton-Silver Lake-Grymes Hill,Richmond,29,0.0,20.620689655172413,0.0,98.063785008904,96.02194787379973,58.4,Staten Island,West New Brighton-Silver Lake-Grymes Hill,Staten Island
Whitestone-Beechhurst,Queens,22,0.0,29.681818181818183,0.0,97.21297481860861,96.98216735253772,58.3,Queens,Whitestone-Beechhurst,Queens
Queensbridge-Ravenswood-Dutch Kills,Queens,8,6.375,142.375,9.659090909090908,86.63145539906102,98.90260631001372,58.3,Queens,Queensbridge-Ravenswood-Dutch Kills,Queens
Mariner's Harbor-Arlington-Graniteville,Richmond,9,0.0,37.77777777777778,0.0,96.45279081898799,98.76543209876543,58.3,Staten Island,Mariner's Harbor-Arlington-Graniteville,Staten Island
Pomonok-Electchester-Hillcrest,Queens,8,0.0,40.875,0.0,96.16197183098592,98.90260631001372,58.2,Queens,Pomonok-Electchester-Hillcrest,Queens
Laurelton,Queens,5,0.0,44.4,0.0,95.83098591549296,99.31412894375858,58.2,Queens,Laurelton,Queens
New Dorp-Midland Beach,Richmond,36,1.6388888888888888,47.333333333333336,2.483164983164983,95.55555555555556,95.06172839506173,58.2,Staten Island,New Dorp-Midland Beach,Staten Island
Middle Village,Queens,8,0.0,45.75,0.0,95.70422535211267,98.90260631001372,58.1,Queens,Middle Village,Queens
Howard Beach-Lindenwood,Queens,18,0.2222222222222222,40.77777777777778,0.33670033670033667,96.17110067814293,97.53086419753086,58.1,Queens,Howard Beach-Lindenwood,Queens
Long Island City-Hunters Point,Queens,69,9.971014492753623,163.0144927536232,15.10759771629337,84.69347485881472,90.53497942386831,58.0,Queens,Long Island City-Hunters Point,Queens
St. Albans,Queens,6,0.0,48.166666666666664,0.0,95.4773082942097,99.1769547325103,58.0,Queens,St. Albans,Queens
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Richmond,30,0.3,36.46666666666667,0.45454545454545453,96.57589984350548,95.88477366255144,58.0,Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Staten Island
Westerleigh-Castleton Corners,Richmond,23,0.0,35.65217391304348,0.0,96.65237803633394,96.84499314128944,58.0,Staten Island,Westerleigh-Castleton Corners,Staten Island
Jamaica Estates-Holliswood,Queens,10,3.6,103.5,5.454545454545455,90.28169014084507,98.62825788751715,58.0,Queens,Jamaica Estates-Holliswood,Queens
Glendale,Queens,23,0.6521739130434783,49.78260869565217,0.9881422924901186,95.32557664829557,96.84499314128944,57.9,Queens,Glendale,Queens
Ozone Park,Queens,8,0.5,57.0,0.7575757575757576,94.64788732394366,98.90260631001372,57.9,Queens,Ozone Park,Queens
Financial District-Battery Park City,New York,465,42.63870967741936,405.22795698924733,64.60410557184751,61.950426573779595,36.21399176954733,57.9,Manhattan,Financial District-Battery Park City,Manhattan
Fresh Meadows-Utopia,Queens,10,0.0,49.1,0.0,95.38967136150235,98.62825788751715,57.9,Queens,Fresh Meadows-Utopia,Queens
Springfield Gardens (North)-Rochdale Village,Queens,5,0.0,55.2,0.0,94.8169014084507,99.31412894375858,57.8,Queens,Springfield Gardens (North)-Rochdale Village,Queens
Pelham Bay-Country Club-City Island,Bronx,31,0.9354838709677419,53.41935483870968,1.4173998044965785,94.98409813721037,95.74759945130316,57.7,Bronx,Pelham Bay-Country Club-City Island,Bronx
Madison,Kings,13,0.38461538461538464,61.30769230769231,0.5827505827505828,94.24340917298663,98.21673525377228,57.6,Brooklyn,Madison,Brooklyn
Auburndale,Queens,29,0.0,46.44827586206897,0.0,95.63865954346771,96.02194787379973,57.5,Queens,Auburndale,Queens
Marine Park-Mill Basin-Bergen Beach,Kings,15,0.0,56.0,0.0,94.74178403755869,97.94238683127571,57.5,Brooklyn,Marine Park-Mill Basin-Bergen Beach,Brooklyn
