Borough,Stop Name,Daytime Routes,Entrance Type,Entry Allowed,Entrance Latitude,Entrance Longitude
B,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R,Stair,YES,40.683905,-73.978879
B,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R,Elevator,YES,40.683805,-73.978487
B,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R,Stair,YES,40.683928,-73.978412
B,Union St,R,Stair,YES,40.6771544,-73.9834296
B,Union St,R,Stair,YES,40.6772958,-73.9833364
B,Union St,R,Stair,YES,40.677001,-73.983133
B,Union St,R,Stair,YES,40.677171,-73.98302
B,4 Av-9 St,F G R,Stair,YES,40.670538,-73.988778
B,4 Av-9 St,F G R,Stair,YES,40.6704052,-73.9884866
B,Prospect Av,R,Stair,YES,40.6652787,-73.9932544
B,Prospect Av,R,Stair,YES,40.6650684,-73.9930473
B,Prospect Av,R,Stair,YES,40.665299,-73.992729
B,25 St,R,Stair,YES,40.6605007,-73.998224
B,25 St,R,Stair,YES,40.660323,-73.997952
B,36 St,D N R,Stair,YES,40.65449,-74.004499
B,36 St,D N R,Stair,YES,40.6546909,-74.0043071
B,36 St,D N R,Stair,YES,40.654365,-74.004113
B,45 St,R,Stair,YES,40.6494326,-74.0097327
B,45 St,R,Stair,YES,40.6495617,-74.0096026
B,45 St,R,Stair,YES,40.6492747,-74.009461
B,45 St,R,Stair,YES,40.6494028,-74.0093232
B,53 St,R,Stair,YES,40.6446672,-74.014688
B,53 St,R,Stair,YES,40.6447641,-74.0145927
B,53 St,R,Stair,YES,40.6445032,-74.0144244
B,53 St,R,Stair,YES,40.644601,-74.014309
B,53 St,R,Stair,YES,40.6456266,-74.01369
B,59 St,N R,Stair,YES,40.6406896,-74.0188637
B,59 St,N R,Stair,YES,40.640491,-74.0185665
B,59 St,N R,Stair,YES,40.6416248,-74.0178508
B,59 St,N R,Elevator,YES,40.6417413,-74.0177502
B,59 St,N R,Stair,YES,40.6414668,-74.0175533
B,59 St,N R,Stair,YES,40.6415691,-74.017435
B,Bay Ridge Av,R,Stair,YES,40.634827,-74.02358
B,Bay Ridge Av,R,Stair,YES,40.634768,-74.023339
B,Bay Ridge Av,R,Stair,YES,40.635484,-74.0233079
B,77 St,R,Stair,YES,40.6295183,-74.025749
B,77 St,R,Stair,YES,40.6294674,-74.0255076
B,86 St,R,Stair,YES,40.6226535,-74.0285564
B,86 St,R,Stair,YES,40.622583,-74.028315
B,86 St,R,Stair,YES,40.623498,-74.028204
B,86 St,R,Elevator,YES,40.6225859,-74.0283617
B,86 St,R,Stair,YES,40.6224943,-74.0286163
B,Bay Ridge-95 St,R,Stair,YES,40.616021,-74.031383
B,Bay Ridge-95 St,R,Stair,YES,40.6162027,-74.031236
B,Bay Ridge-95 St,R,Easement - Street,YES,40.6159342,-74.0308333
B,Bay Ridge-95 St,R,Stair,YES,40.617604,-74.0306828
B,Bay Ridge-95 St,R,Stair,YES,40.6173787,-74.0304053
Q,21 St-Queensbridge,M,Escalator,YES,40.7541656,-73.9425499
Q,21 St-Queensbridge,M,Elevator,YES,40.7543246,-73.9423416
Q,21 St-Queensbridge,M,Stair,YES,40.7540129,-73.9422248
Q,21 St-Queensbridge,M,Stair,YES,40.754262,-73.9419961
M,Roosevelt Island,M,Station House,YES,40.7590185,-73.9534576
M,Lexington Av/63 St,M Q,Easement - Street,YES,40.7649678,-73.9666793
M,Lexington Av/63 St,M Q,Stair,YES,40.7647383,-73.9665531
M,Lexington Av/63 St,M Q,Easement - Street,YES,40.764896,-73.966426
M,Lexington Av/63 St,M Q,Stair,YES,40.7641013,-73.9650414
M,Lexington Av/63 St,M Q,Elevator,YES,40.7642064,-73.9649728
M,Lexington Av/63 St,M Q,Easement - Street,YES,40.7638652,-73.964516
M,Lexington Av/63 St,M Q,Stair,YES,40.7641673,-73.9645234
M,57 St,M,Stair,YES,40.7634853,-73.9779774
M,57 St,M,Stair,YES,40.7633797,-73.9777271
M,57 St,M,Stair,YES,40.7638466,-73.977723
M,57 St,M,Stair,YES,40.764223,-73.977439
M,57 St,M,Stair,YES,40.763903,-73.977348
M,57 St,M,Stair,YES,40.7640108,-73.9772741
M,57 St,M,Stair,YES,40.7646549,-73.9771234
M,57 St,M,Stair,YES,40.7645565,-73.9768746
M,47-50 Sts-Rockefeller Ctr,B D F M,Stair,YES,40.7580251,-73.9821103
M,47-50 Sts-Rockefeller Ctr,B D F M,Stair,YES,40.7578149,-73.9817936
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Street,YES,40.7586676,-73.9816419
M,47-50 Sts-Rockefeller Ctr,B D F M,Stair,YES,40.7578802,-73.9816131
M,47-50 Sts-Rockefeller Ctr,B D F M,Stair,YES,40.7579787,-73.9815345
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Street,YES,40.7590434,-73.98132
M,47-50 Sts-Rockefeller Ctr,B D F M,Stair,YES,40.75848,-73.98114
M,47-50 Sts-Rockefeller Ctr,B D F M,Elevator,YES,40.759442,-73.981112
M,47-50 Sts-Rockefeller Ctr,B D F M,Stair,YES,40.7586206,-73.9810724
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Street,YES,40.7594551,-73.9810633
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Street,YES,40.7590201,-73.9808688
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Street,YES,40.7599252,-73.9807323
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Street,YES,40.7593732,-73.980623
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Street,YES,40.7601466,-73.9804899
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Street,YES,40.7600375,-73.9801239
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Passage,YES,40.7578742,-73.9820852
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Passage,YES,40.7583667,-73.9818694
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Passage,YES,40.7588352,-73.9807921
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Passage,YES,40.7585566,-73.9817222
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Passage,YES,40.7596484,-73.9809099
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Passage,YES,40.760109,-73.980582
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Passage,YES,40.7593998,-73.9803382
M,47-50 Sts-Rockefeller Ctr,B D F M,Easement - Passage,YES,40.7592389,-73.981182
M,42 St-Bryant Pk/5 Av,7 B D F M,Easement - Street,YES,40.7537136,-73.985193
M,42 St-Bryant Pk/5 Av,7 B D F M,Stair,YES,40.7533955,-73.9848446
M,42 St-Bryant Pk/5 Av,7 B D F M,Stair,YES,40.7535053,-73.9847341
M,42 St-Bryant Pk/5 Av,7 B D F M,Easement - Street,YES,40.7549381,-73.9846882
M,42 St-Bryant Pk/5 Av,7 B D F M,Stair,YES,40.7550511,-73.9841897
M,42 St-Bryant Pk/5 Av,7 B D F M,Stair,YES,40.7552322,-73.9840526
M,42 St-Bryant Pk/5 Av,7 B D F M,Stair,YES,40.7545962,-73.9838771
M,42 St-Bryant Pk/5 Av,7 B D F M,Stair,YES,40.7550226,-73.9837875
M,42 St-Bryant Pk/5 Av,7 B D F M,Easement - Street,YES,40.7531465,-73.9855491
M,42 St-Bryant Pk/5 Av,7 B D F M,Easement - Street,YES,40.7531005,-73.9856594
M,42 St-Bryant Pk/5 Av,7 B D F M,Elevator,YES,40.7551429,-73.9841152
M,34 St-Herald Sq,B D F M N Q R W,Easement - Street,YES,40.74875,-73.9887643
M,34 St-Herald Sq,B D F M N Q R W,Easement - Street,YES,40.7489087,-73.9886438
M,34 St-Herald Sq,B D F M N Q R W,Stair,YES,40.7498382,-73.9881986
M,34 St-Herald Sq,B D F M N Q R W,Elevator,YES,40.749625,-73.9881642
