licensepermitid,premisescounty,description,legalname,dba,actualaddressofpremises,city,statename,zipcode,originalissuedate,expirationdate,georeference
0240-22-100853,Queens,Restaurant,EL FOGON REST INC,,1701 PALMETTO ST,RIDGEWOOD,New York,11385,01/28/2026,01/31/2028,POINT (-73.90473 40.70571)
0240-22-101032,New York,Restaurant,ATOBOY LLC,,43 E 28TH ST,NEW YORK,New York,10016,06/28/2024,06/30/2026,POINT (-73.98462 40.74356)
0240-23-139971,Queens,Restaurant,SUSHI ME INC,SUSHI ME,14-18 150TH ST,WHITESTONE,New York,11357,06/03/2025,06/30/2027,POINT (-73.81389 40.78807)
0240-23-140239,Kings,Restaurant,BENDOM BROOKLYN INC,BIG TINY,244 SMITH ST,BROOKLYN,New York,11231,04/28/2025,05/31/2027,POINT (-73.99269 40.68341)
0240-23-140773,New York,Restaurant,AKAMI INC,,1771 1ST AVE,NEW YORK,New York,10128,02/13/2025,02/28/2027,POINT (-73.94679 40.7804)
0240-23-142436,Bronx,Restaurant,EL TINA RIVERDALE CORP,,308 W 231 ST,BRONX,New York,10463,07/05/2025,07/31/2027,POINT (-73.90865 40.88095)
0240-24-126659,Queens,Restaurant,Myungdong Noodle Inc,,56-21 Marathon Pkwy,Little Neck,New York,11362,08/30/2024,07/31/2026,POINT (-73.73147 40.75981)
0340-21-120154,New York,Restaurant,TWIN OAKS USA INC,ANJAPPAR CHETTINAD,116 LEXINGTON AVE,NEW YORK,New York,10016,12/23/2025,12/31/2027,POINT (-73.98257 40.7425)
0340-22-105272,New York,Restaurant,JOIE 22 LLC,JUA,36 E 22ND ST,NEW YORK,New York,10010,01/09/2026,01/31/2028,POINT (-73.98769 40.73988)
0340-22-105823,Queens,Restaurant,OTG JFK T5 VENTURE LLC,,JFK AIRPORT TERM 5 GATE 58EC,JAMAICA,New York,11430,09/17/2024,09/30/2026,
0340-22-108594,New York,Restaurant,M ARAI INC,,137 E 45TH STREET,NEW YORK,New York,10017,08/23/2024,09/30/2026,POINT (-73.97412 40.75315)
0340-23-127091,New York,Restaurant,BD STANHOPE LLC,,369 W 16TH ST,NEW YORK,New York,10011,05/23/2025,05/31/2027,POINT (-74.00349 40.74189)
0340-23-128183,Queens,Restaurant,SSP AMERICA LGA LLC,BAR VELOCE,LAGUARDIA AIRPORT TERMINAL B,FLUSHING,New York,11371,09/24/2025,09/30/2027,
0340-23-128661,Kings,Restaurant,U BAR & RESTAURANT CORP,,1114 1116 AVENUE U,BROOKLYN,New York,11223,01/13/2025,02/28/2027,POINT (-73.96059 40.59836)
0340-23-135103,Kings,Restaurant,Chez Oly Int'l Inc.,KARLOFF,254 COURT ST,BROOKLYN,New York,11231,08/26/2025,08/31/2027,POINT (-73.99454 40.68524)
0340-23-137681,New York,Restaurant,KDL HOSPITALITY LLC,CHELSEA BELL,260 W 26TH ST,NEW YORK,New York,10001,01/24/2025,01/31/2027,POINT (-73.9967 40.74703)
0340-23-138062,Kings,Restaurant,OREGANO LLC,OREGANO,102 BERRY ST,BROOKYLN,New York,11249,06/24/2025,06/30/2027,POINT (-73.95862 40.71898)
0340-23-138800,Bronx,Restaurant,FIESTA LOUNGE & RESTAURANT CORP,,4640 3RD AVE,BRONX,New York,10458,06/24/2025,06/30/2027,POINT (-73.89109 40.85716)
0340-23-159640,Kings,Restaurant,ESQ PARK SLOPE LLC,EMMY SQUARED PIZZA,315 5TH AVE,BROOKLYN,New York,11215,10/02/2025,09/30/2027,POINT (-73.98318 40.67293)
